Region,Org Code,Provider name,Modality, Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Year 
 Y58 , RNZ , Salisbury NHS Foundation Trust , Computerized Axial Tomography ," 1,690 "," 1,665 "," 1,480 "," 1,850 "," 1,870 "," 1,760 "," 1,790 "," 1,755 "," 1,715 "," 1,790 "," 1,670 "," 1,450 "," 20,480 "
 Y58 , RNZ , Salisbury NHS Foundation Trust , Diagnostic Ultrasonography ," 5,125 "," 5,210 "," 4,575 "," 5,055 "," 4,845 "," 4,630 "," 5,535 "," 4,870 "," 4,595 "," 5,250 "," 4,460 "," 3,940 "," 58,090 "
 Y58 , RNZ , Salisbury NHS Foundation Trust , Fluoroscopy , 335 , 290 , 315 , 390 , 350 , 395 , 445 , 405 , 385 , 425 , 360 , 320 ," 4,405 "
 Y58 , RNZ , Salisbury NHS Foundation Trust , Magnetic Resonance Imaging , 775 , 850 , 700 , 710 , 850 , 810 , 820 , 825 , 750 , 865 , 775 , 765 ," 9,495 "
 Y58 , RNZ , Salisbury NHS Foundation Trust , Medical Photography , 365 , 355 , 345 , 435 , 315 , 310 , 345 , 400 , 420 , 525 , 530 , 415 ," 4,750 "
 Y58 , RNZ , Salisbury NHS Foundation Trust , Nuclear Medicine Procedure , 80 , 80 , 90 , 100 , 80 , 80 , 105 , 100 , 90 , 110 , 80 , 80 ," 1,075 "
 Y58 , RNZ , Salisbury NHS Foundation Trust , Plain Radiography ," 8,000 "," 8,720 "," 7,925 "," 9,035 "," 7,740 "," 8,340 "," 8,595 "," 8,075 "," 7,505 "," 8,885 "," 7,575 "," 5,950 "," 96,345 "
 Y58 , NT3 , Spire Healthcare , Computerized Axial Tomography , 5 , . , . , 5 , * , . , * , 5 , * , * , 5 , * , 25 
 Y58 , NT3 , Spire Healthcare , Diagnostic Ultrasonography , 5 , 5 , 10 , 10 , 5 , 15 , 5 , 10 , 5 , 15 , 10 , 10 , 105 
 Y58 , NT3 , Spire Healthcare , Fluoroscopy , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 10 , 15 , 10 , 10 , 115 
 Y58 , NT3 , Spire Healthcare , Magnetic Resonance Imaging , 15 , 20 , 30 , 25 , 20 , 20 , 25 , 25 , 15 , 35 , 30 , 30 , 295 
 Y58 , NT3 , Spire Healthcare , Plain Radiography , 125 , 170 , 140 , 170 , 150 , 135 , 190 , 205 , 115 , 205 , 145 , 155 ," 1,910 "
 Y58 , RBA , Taunton and Somerset NHS Foundation Trust , Computerized Axial Tomography ," 2,690 "," 2,810 "," 2,735 "," 2,705 "," 2,690 "," 2,745 "," 3,030 "," 2,945 "," 2,670 "," 2,820 "," 2,580 "," 2,405 "," 32,820 "
 Y58 , RBA , Taunton and Somerset NHS Foundation Trust , Diagnostic Ultrasonography ," 5,385 "," 5,730 "," 5,005 "," 5,245 "," 5,100 "," 5,180 "," 5,775 "," 5,595 "," 5,190 "," 5,470 "," 5,175 "," 3,925 "," 62,770 "
 Y58 , RBA , Taunton and Somerset NHS Foundation Trust , Fluoroscopy , 705 , 690 , 620 , 760 , 740 , 665 , 760 , 650 , 580 , 700 , 710 , 575 ," 8,150 "
 Y58 , RBA , Taunton and Somerset NHS Foundation Trust , Magnetic Resonance Imaging ," 1,205 "," 1,270 "," 1,275 "," 1,345 "," 1,310 "," 1,490 "," 1,670 "," 1,575 "," 1,225 "," 1,440 "," 1,225 "," 1,075 "," 16,105 "
 Y58 , RBA , Taunton and Somerset NHS Foundation Trust , Nuclear Medicine Procedure , 105 , 130 , 90 , 115 , 100 , 90 , 115 , 105 , 95 , 115 , 115 , 90 ," 1,270 "
 Y58 , RBA , Taunton and Somerset NHS Foundation Trust , Plain Radiography ," 12,390 "," 12,430 "," 11,550 "," 12,735 "," 11,490 "," 12,100 "," 12,775 "," 11,610 "," 10,850 "," 12,470 "," 11,180 "," 8,595 "," 140,175 "
 Y58 , RDZ , The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , Computerized Axial Tomography ," 2,765 "," 2,740 "," 2,790 "," 2,870 "," 2,845 "," 2,680 "," 2,930 "," 2,690 "," 2,795 "," 2,835 "," 2,690 "," 2,290 "," 32,920 "
 Y58 , RDZ , The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , Diagnostic Ultrasonography ," 4,425 "," 4,495 "," 4,075 "," 4,530 "," 4,050 "," 4,190 "," 4,615 "," 4,430 "," 4,180 "," 4,525 "," 4,170 "," 3,630 "," 51,310 "
 Y58 , RDZ , The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , Fluoroscopy , 445 , 515 , 465 , 530 , 395 , 375 , 465 , 450 , 395 , 540 , 460 , 370 ," 5,405 "
 Y58 , RDZ , The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , Magnetic Resonance Imaging ," 1,330 "," 1,535 "," 1,460 "," 1,540 "," 1,495 "," 1,490 "," 1,655 "," 1,445 "," 1,310 "," 1,595 "," 1,335 "," 1,115 "," 17,305 "
 Y58 , RDZ , The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , Plain Radiography ," 10,980 "," 13,115 "," 12,020 "," 11,895 "," 10,610 "," 10,895 "," 11,295 "," 10,895 "," 10,295 "," 11,515 "," 10,265 "," 7,755 "," 131,530 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Computerized Axial Tomography ," 2,310 "," 2,675 "," 2,540 "," 2,700 "," 2,785 "," 2,840 "," 2,965 "," 2,820 "," 2,420 "," 2,685 "," 2,355 "," 2,065 "," 31,165 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Diagnostic Ultrasonography ," 3,610 "," 3,860 "," 3,375 "," 3,995 "," 3,680 "," 3,450 "," 3,990 "," 3,600 "," 3,215 "," 3,820 "," 3,330 "," 2,755 "," 42,690 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Fluoroscopy , 635 , 690 , 645 , 760 , 615 , 695 , 835 , 770 , 695 , 860 , 600 , 425 ," 8,230 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Magnetic Resonance Imaging ," 1,170 "," 1,300 "," 1,250 "," 1,305 "," 1,235 "," 1,230 "," 1,250 "," 1,305 "," 1,145 "," 1,235 "," 1,220 "," 1,090 "," 14,730 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Nuclear Medicine Procedure , 195 , 145 , 175 , 185 , 155 , 135 , 170 , 180 , 140 , 170 , 155 , 170 ," 1,975 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Plain Radiography ," 9,345 "," 9,780 "," 9,485 "," 10,190 "," 9,495 "," 8,900 "," 9,485 "," 9,395 "," 8,995 "," 9,965 "," 8,760 "," 6,705 "," 110,505 "
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Positron Emission Tomography , 60 , 65 , 70 , 70 , 60 , 60 , 75 , 50 , 70 , 85 , 80 , 70 , 810 
 Y58 , RA9 , Torbay and South Devon NHS Foundation Trust , Single Photon Emission Computerized Tomography , * , 10 , 5 , 5 , 5 , 10 , 15 , 10 , 5 , 5 , 5 , 5 , 90 
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Computerized Axial Tomography ," 3,595 "," 3,945 "," 3,580 "," 3,895 "," 3,530 "," 3,565 "," 3,940 "," 3,820 "," 3,765 "," 4,320 "," 3,820 "," 3,285 "," 45,060 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Diagnostic Ultrasonography ," 7,310 "," 7,345 "," 7,100 "," 7,765 "," 6,750 "," 7,025 "," 7,735 "," 7,275 "," 6,425 "," 7,660 "," 6,790 "," 5,820 "," 84,990 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Fluoroscopy ," 1,350 "," 1,280 "," 1,315 "," 1,375 "," 1,280 "," 1,410 "," 1,475 "," 1,395 "," 1,300 "," 1,320 "," 1,260 ", 955 ," 15,715 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Magnetic Resonance Imaging ," 2,245 "," 2,485 "," 2,240 "," 2,640 "," 2,350 "," 2,400 "," 2,640 "," 2,700 "," 2,470 "," 2,820 "," 2,635 "," 2,285 "," 29,915 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Nuclear Medicine Procedure , 210 , 200 , 195 , 230 , 265 , 215 , 235 , 250 , 215 , 295 , 245 , 170 ," 2,720 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Plain Radiography ," 14,005 "," 14,995 "," 13,835 "," 14,160 "," 12,635 "," 13,840 "," 15,180 "," 14,115 "," 13,430 "," 14,985 "," 13,700 "," 10,550 "," 165,435 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Positron Emission Tomography , 50 , 90 , 90 , 110 , 90 , 90 , 105 , 95 , 95 , 95 , 75 , 85 ," 1,080 "
 Y58 , RA7 , University Hospitals Bristol NHS Foundation Trust , Single Photon Emission Computerized Tomography , 5 , 15 , 30 , 15 , 20 , 20 , 15 , 10 , 10 , 15 , 10 , 20 , 185 
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Computerized Axial Tomography ," 4,280 "," 4,480 "," 4,135 "," 4,780 "," 4,995 "," 4,555 "," 4,800 "," 4,700 "," 4,295 "," 4,790 "," 4,495 "," 4,265 "," 54,575 "
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Diagnostic Ultrasonography ," 7,130 "," 7,595 "," 7,165 "," 7,725 "," 6,920 "," 7,815 "," 8,500 "," 8,210 "," 6,530 "," 7,895 "," 7,310 "," 6,365 "," 89,160 "
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Fluoroscopy , 835 , 965 , 825 , 935 ," 1,040 "," 1,010 "," 1,080 ", 995 , 990 ," 1,095 ", 905 , 820 ," 11,500 "
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Magnetic Resonance Imaging ," 2,035 "," 2,065 "," 2,035 "," 2,440 "," 2,265 "," 2,270 "," 2,610 "," 2,465 "," 2,275 "," 2,470 "," 2,340 "," 1,945 "," 27,210 "
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Nuclear Medicine Procedure , 430 , 465 , 420 , 490 , 415 , 405 , 460 , 440 , 395 , 430 , 380 , 295 ," 5,030 "
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Plain Radiography ," 16,525 "," 17,120 "," 15,735 "," 17,240 "," 15,810 "," 15,845 "," 16,375 "," 16,020 "," 14,690 "," 16,185 "," 14,935 "," 12,360 "," 188,830 "
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Positron Emission Tomography , 5 , 10 , * , 5 , 10 , * , 10 , 5 , 10 , 10 , 110 , 95 , 270 
 Y58 , RK9 , University Hospitals Plymouth NHS Trust , Single Photon Emission Computerized Tomography , 130 , 115 , 80 , 130 , 120 , 125 , 95 , 120 , 100 , 100 , 100 , 65 ," 1,285 "
 Y58 , RA3 , Weston Area Health NHS Trust , Computerized Axial Tomography ," 1,265 "," 1,290 "," 1,270 "," 1,275 "," 1,355 "," 1,410 "," 1,415 "," 1,255 "," 1,275 "," 1,415 "," 1,370 "," 1,125 "," 15,715 "
 Y58 , RA3 , Weston Area Health NHS Trust , Diagnostic Ultrasonography ," 2,385 "," 2,270 "," 2,175 "," 2,080 "," 2,680 "," 2,625 "," 2,260 "," 2,105 "," 1,940 "," 2,130 "," 2,015 "," 1,920 "," 26,580 "
 Y58 , RA3 , Weston Area Health NHS Trust , Fluoroscopy , 65 , 120 , 90 , 120 , 75 , 95 , 105 , 75 , 85 , 85 , 75 , 65 ," 1,060 "
 Y58 , RA3 , Weston Area Health NHS Trust , Magnetic Resonance Imaging , 620 , 580 , 655 , 750 , 645 , 615 , 725 , 660 , 580 , 725 , 675 , 895 ," 8,130 "
 Y58 , RA3 , Weston Area Health NHS Trust , Plain Radiography ," 5,270 "," 5,355 "," 5,055 "," 5,540 "," 5,195 "," 5,335 "," 5,350 "," 4,990 "," 4,705 "," 5,140 "," 4,965 "," 4,030 "," 60,925 "
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Computerized Axial Tomography ," 1,440 "," 1,535 "," 1,480 "," 1,515 "," 1,530 "," 1,440 "," 1,590 "," 1,550 "," 1,575 "," 1,665 "," 1,505 "," 1,295 "," 18,120 "
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Diagnostic Ultrasonography ," 1,700 "," 1,745 "," 1,820 "," 1,935 "," 1,845 "," 1,650 "," 1,875 "," 1,545 "," 1,655 "," 1,875 "," 1,560 "," 1,525 "," 20,725 "
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Fluoroscopy , 180 , 125 , 135 , 175 , 165 , 180 , 160 , 160 , 155 , 170 , 175 , 130 ," 1,910 "
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Magnetic Resonance Imaging , 585 , 570 , 530 , 530 , 520 , 535 , 560 , 535 , 520 , 640 , 545 , 430 ," 6,500 "
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Nuclear Medicine Procedure , . , . , . , * , * , . , . , . , . , . , . , . , 5 
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Plain Radiography ," 4,005 "," 4,055 "," 3,925 "," 4,095 "," 3,970 "," 4,005 "," 4,335 "," 3,870 "," 4,100 "," 4,405 "," 3,955 "," 3,220 "," 47,950 "
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Positron Emission Tomography , 20 , 10 , 25 , 20 , 20 , 15 , 15 , 20 , 15 , 30 , 15 , 20 , 215 
 Y58 , RA4 , Yeovil District Hospital NHS Foundation Trust , Single Photon Emission Computerized Tomography , . , . , . , . , * , . , . , . , . , . , . , . , * 
 Y59 , NT9 , Alliance Medical , Computerized Axial Tomography , 5 , * , 5 , * , * , * , . , . , * , . , * , . , 15 
 Y59 , NT9 , Alliance Medical , Magnetic Resonance Imaging ," 1,565 "," 1,895 "," 2,130 "," 2,380 "," 2,155 "," 2,075 "," 2,345 "," 2,240 "," 1,985 "," 2,325 "," 2,065 "," 1,900 "," 25,055 "
 Y59 , NT9 , Alliance Medical , Nuclear Medicine Procedure , . , . , . , . , . , . , 5 , . , . , . , . , . , 5 
 Y59 , NT9 , Alliance Medical , Plain Radiography , 5 , 5 , 5 , 10 , 5 , * , * , * , 5 , * , 5 , * , 40 
 Y59 , NT9 , Alliance Medical , Positron Emission Tomography ," 1,390 "," 1,405 "," 1,535 "," 1,490 "," 1,280 "," 1,400 "," 1,580 "," 1,435 "," 1,290 "," 1,540 "," 1,355 "," 1,420 "," 17,120 "
 Y59 , RTK , Ashford and St Peter's Hospitals NHS Foundation Trust , Computerized Axial Tomography ," 3,300 "," 3,405 "," 3,270 "," 3,455 "," 3,385 "," 3,245 "," 3,455 "," 3,435 "," 3,360 "," 3,500 "," 3,155 "," 2,635 "," 39,615 "
 Y59 , RTK , Ashford and St Peter's Hospitals NHS Foundation Trust , Diagnostic Ultrasonography ," 4,810 "," 5,375 "," 5,155 "," 5,390 "," 4,940 "," 4,845 "," 5,625 "," 5,225 "," 4,720 "," 5,275 "," 4,935 "," 4,165 "," 60,465 "
 Y59 , RTK , Ashford and St Peter's Hospitals NHS Foundation Trust , Fluoroscopy , 580 , 605 , 595 , 640 , 555 , 575 , 565 , 600 , 480 , 520 , 530 , 440 ," 6,680 "
 Y59 , RTK , Ashford and St Peter's Hospitals NHS Foundation Trust , Magnetic Resonance Imaging ," 1,510 "," 1,640 "," 1,945 "," 1,900 "," 1,615 "," 1,645 "," 1,775 "," 1,890 "," 1,755 "," 1,725 "," 1,690 "," 1,785 "," 20,870 "
 Y59 , RTK , Ashford and St Peter's Hospitals NHS Foundation Trust , Nuclear Medicine Procedure , . , * , . , . , . , . , . , . , . , . , . , . , * 
 Y59 , RTK , Ashford and St Peter's Hospitals NHS Foundation Trust , Plain Radiography ," 10,750 "," 11,680 "," 10,690 "," 10,900 "," 9,935 "," 10,395 "," 11,010 "," 10,685 "," 9,920 "," 10,980 "," 9,565 "," 7,525 "," 124,040 "
 Y59 , NT4 , BMI Healthcare , Computerized Axial Tomography , 90 , 110 , 85 , 105 , 60 , 90 , 85 , 75 , 55 , 65 , 70 , 45 , 930 
 Y59 , NT4 , BMI Healthcare , Diagnostic Ultrasonography , 130 , 155 , 115 , 140 , 100 , 110 , 85 , 80 , 70 , 100 , 100 , 90 ," 1,275 "
 Y59 , NT4 , BMI Healthcare , Fluoroscopy , 5 , 5 , * , 5 , . , . , * , 5 , * , * , 5 , * , 30 
 Y59 , NT4 , BMI Healthcare , Magnetic Resonance Imaging , 330 , 345 , 290 , 275 , 270 , 255 , 310 , 265 , 235 , 250 , 210 , 160 ," 3,195 "
 Y59 , NT4 , BMI Healthcare , Plain Radiography , 390 , 425 , 315 , 335 , 275 , 265 , 330 , 300 , 240 , 370 , 345 , 255 ," 3,840 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Computerized Axial Tomography ," 4,730 "," 4,710 "," 4,645 "," 4,705 "," 4,240 "," 4,650 "," 4,985 "," 4,605 "," 4,260 "," 5,050 "," 4,420 "," 3,885 "," 54,885 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Diagnostic Ultrasonography ," 5,220 "," 5,575 "," 5,800 "," 6,155 "," 6,375 "," 6,275 "," 6,275 "," 5,980 "," 5,225 "," 6,265 "," 5,390 "," 4,885 "," 69,415 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Fluoroscopy , 645 , 660 , 625 , 750 , 595 , 630 , 720 , 685 , 645 , 685 , 595 , 545 ," 7,780 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Magnetic Resonance Imaging ," 3,120 "," 3,165 "," 2,735 "," 2,635 "," 2,145 "," 3,200 "," 3,290 "," 3,260 "," 2,375 "," 3,635 "," 3,205 "," 2,850 "," 35,615 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Nuclear Medicine Procedure , 520 , 495 , 465 , 565 , 510 , 490 , 610 , 530 , 465 , 555 , 485 , 380 ," 6,070 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Plain Radiography ," 13,780 "," 14,530 "," 13,365 "," 14,280 "," 12,600 "," 13,030 "," 14,355 "," 13,555 "," 11,790 "," 14,150 "," 12,385 "," 10,025 "," 157,840 "
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Positron Emission Tomography , 285 , 300 , . , . , . , . , . , . , . , . , . , . , 585 
 Y59 , RXH , Brighton and Sussex University Hospitals NHS Trust , Single Photon Emission Computerized Tomography , 60 , 50 , 70 , 75 , 75 , 65 , 70 , 100 , 55 , 65 , 55 , 60 , 795 
 Y59 , RXQ , Buckinghamshire Healthcare NHS Trust , Computerized Axial Tomography ," 3,295 "," 3,505 "," 3,375 "," 3,650 "," 3,435 "," 3,350 "," 3,580 "," 3,445 "," 3,275 "," 3,625 "," 3,250 "," 2,665 "," 40,450 "
 Y59 , RXQ , Buckinghamshire Healthcare NHS Trust , Diagnostic Ultrasonography ," 6,515 "," 6,715 "," 6,295 "," 6,850 "," 5,940 "," 6,325 "," 6,845 "," 6,950 "," 6,070 "," 6,445 "," 5,930 "," 5,065 "," 75,950 "
 Y59 , RXQ , Buckinghamshire Healthcare NHS Trust , Fluoroscopy , 550 , 565 , 560 , 640 , 535 , 595 , 605 , 575 , 530 , 550 , 500 , 405 ," 6,615 "
 Y59 , RXQ , Buckinghamshire Healthcare NHS Trust , Magnetic Resonance Imaging ," 1,505 "," 1,520 "," 1,450 "," 1,415 "," 1,455 "," 1,395 "," 1,460 "," 1,435 "," 1,295 "," 1,510 "," 1,410 "," 1,170 "," 17,015 "
 Y59 , RXQ , Buckinghamshire Healthcare NHS Trust , Nuclear Medicine Procedure , 160 , 195 , 150 , 215 , 185 , 205 , 210 , 185 , 155 , 215 , 210 , 135 ," 2,225 "
 Y59 , RXQ , Buckinghamshire Healthcare NHS Trust , Plain Radiography ," 13,100 "," 14,185 "," 12,925 "," 13,910 "," 12,635 "," 13,120 "," 14,290 "," 13,220 "," 12,260 "," 13,990 "," 13,160 "," 9,680 "," 156,475 "
 Y59 , NTP , Care UK , Computerized Axial Tomography , . , . , . , . , . , . , * , . , . , . , . , . , * 
 Y59 , NTP , Care UK , Diagnostic Ultrasonography ," 2,820 "," 2,835 "," 3,060 "," 3,030 "," 2,465 "," 2,735 "," 3,065 "," 2,825 "," 2,650 "," 3,035 "," 2,740 "," 2,320 "," 33,570 "
 Y59 , NTP , Care UK , Fluoroscopy , 5 , * , * , . , . , . , * , 5 , * , 5 , . , . , 15 
 Y59 , NTP , Care UK , Magnetic Resonance Imaging , 785 , 865 , 865 , 970 , 970 , 915 , 950 , 945 , 925 , 955 , 960 , 970 ," 11,075 "
 Y59 , NTP , Care UK , Plain Radiography ," 4,270 "," 4,405 "," 4,170 "," 4,360 "," 3,835 "," 3,915 "," 4,460 "," 4,115 "," 3,345 "," 4,370 "," 3,970 "," 2,800 "," 48,010 "
 Y59 , NV3 , Circle , Computerized Axial Tomography , 30 , 30 , 10 , 40 , 35 , 45 , 15 , 40 , 25 , 40 , 25 , 35 , 370 
 Y59 , NV3 , Circle , Diagnostic Ultrasonography , 110 , 115 , 140 , 100 , 115 , 110 , 130 , 120 , 110 , 125 , 95 , 75 ," 1,345 "
 Y59 , NV3 , Circle , Fluoroscopy , 5 , 15 , 20 , * , * , * , 15 , 50 , 15 , 55 , 5 , 5 , 190 
 Y59 , NV3 , Circle , Magnetic Resonance Imaging , 245 , 230 , 215 , 240 , 190 , 235 , 290 , 260 , 165 , 290 , 210 , 280 ," 2,835 "
 Y59 , NV3 , Circle , Plain Radiography , 315 , 350 , 320 , 325 , 350 , 300 , 360 , 345 , 290 , 410 , 325 , 235 ," 3,915 "
 Y59 , NTV , CSH Surrey , Plain Radiography ," 1,700 "," 1,455 "," 1,755 "," 1,970 "," 1,790 "," 1,825 "," 2,170 "," 1,945 "," 1,720 "," 2,355 "," 1,970 "," 1,350 "," 22,010 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Computerized Axial Tomography ," 2,395 "," 2,675 "," 2,600 "," 2,845 "," 2,580 "," 2,590 "," 2,840 "," 2,755 "," 2,595 "," 2,990 "," 2,695 "," 2,295 "," 31,855 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Diagnostic Ultrasonography ," 6,005 "," 6,030 "," 5,850 "," 6,140 "," 5,675 "," 5,970 "," 6,300 "," 6,225 "," 5,445 "," 6,290 "," 5,430 "," 4,440 "," 69,805 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Fluoroscopy , 435 , 460 , 460 , 535 , 400 , 440 , 435 , 470 , 410 , 450 , 410 , 325 ," 5,230 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Magnetic Resonance Imaging ," 1,480 "," 1,435 "," 1,545 "," 1,580 "," 1,390 "," 1,625 "," 1,645 "," 1,545 "," 1,555 "," 1,645 "," 1,740 "," 1,275 "," 18,460 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Nuclear Medicine Procedure , 215 , 205 , 210 , 260 , 215 , 215 , 260 , 260 , 260 , 285 , 255 , 180 ," 2,815 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Plain Radiography ," 13,095 "," 14,085 "," 13,120 "," 14,375 "," 12,580 "," 13,025 "," 14,020 "," 13,485 "," 12,440 "," 14,600 "," 13,200 "," 10,045 "," 158,060 "
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Positron Emission Tomography , . , 5 , 5 , 5 , * , 5 , * , * , * , 5 , . , . , 25 
 Y59 , RN7 , Dartford and Gravesham NHS Trust , Single Photon Emission Computerized Tomography , 35 , 35 , 40 , 40 , 40 , 30 , 55 , 40 , 20 , 55 , 25 , 30 , 455 
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Computerized Axial Tomography ," 6,990 "," 7,490 "," 6,670 "," 7,815 "," 7,360 "," 7,245 "," 7,465 "," 7,725 "," 7,485 "," 8,265 "," 7,460 "," 6,600 "," 88,570 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Diagnostic Ultrasonography ," 9,100 "," 9,850 "," 8,440 "," 9,430 "," 8,695 "," 8,650 "," 9,585 "," 8,750 "," 8,260 "," 9,355 "," 8,165 "," 7,495 "," 105,765 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Fluoroscopy ," 1,660 "," 1,735 "," 1,465 "," 1,805 "," 1,480 "," 1,605 "," 1,785 "," 1,735 "," 1,545 "," 1,695 "," 1,545 "," 1,305 "," 19,355 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Magnetic Resonance Imaging ," 6,905 "," 6,745 "," 6,720 "," 7,315 "," 7,425 "," 7,440 "," 7,455 "," 6,245 "," 5,850 "," 5,590 "," 5,270 "," 4,555 "," 77,515 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Nuclear Medicine Procedure , 570 , 625 , 580 , 680 , 630 , 615 , 460 , 480 , 555 , 580 , 660 , 415 ," 6,850 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Plain Radiography ," 23,345 "," 26,010 "," 20,700 "," 26,295 "," 23,440 "," 24,345 "," 25,490 "," 24,770 "," 22,845 "," 26,685 "," 23,660 "," 17,825 "," 285,410 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Positron Emission Tomography , 175 , 195 , 205 , 200 , 170 , 185 , 245 , 180 , 185 , 205 , 210 , 210 ," 2,365 "
 Y59 , RVV , East Kent Hospitals University NHS Foundation Trust , Single Photon Emission Computerized Tomography , 10 , 10 , 15 , 10 , 25 , 20 , * , 5 , 5 , 5 , 5 , 5 , 115 
 Y59 , RXC , East Sussex Healthcare NHS Trust , Computerized Axial Tomography ," 4,150 "," 4,160 "," 4,105 "," 4,310 "," 4,355 "," 4,265 "," 4,520 "," 4,620 "," 4,290 "," 4,555 "," 4,225 "," 3,605 "," 51,155 "
 Y59 , RXC , East Sussex Healthcare NHS Trust , Diagnostic Ultrasonography ," 4,160 "," 4,180 "," 4,345 "," 4,540 "," 4,475 "," 4,400 "," 5,040 "," 5,105 "," 4,275 "," 4,810 "," 4,560 "," 3,955 "," 53,850 "
 Y59 , RXC , East Sussex Healthcare NHS Trust , Fluoroscopy , 570 , 640 , 655 , 615 , 550 , 550 , 535 , 560 , 475 , 615 , 535 , 425 ," 6,720 "
 Y59 , RXC , East Sussex Healthcare NHS Trust , Magnetic Resonance Imaging ," 1,710 "," 1,835 "," 1,755 "," 1,855 "," 1,585 "," 1,720 "," 1,925 "," 1,830 "," 1,635 "," 1,955 "," 1,755 "," 1,680 "," 21,235 "
 Y59 , RXC , East Sussex Healthcare NHS Trust , Nuclear Medicine Procedure , 390 , 380 , 400 , 415 , 330 , 335 , 445 , 375 , 365 , 410 , 370 , 245 ," 4,460 "
 Y59 , RXC , East Sussex Healthcare NHS Trust , Plain Radiography ," 11,595 "," 12,065 "," 11,655 "," 12,145 "," 11,340 "," 11,085 "," 11,590 "," 11,795 "," 10,955 "," 12,420 "," 11,410 "," 9,010 "," 137,065 "
 Y59 , RXC , East Sussex Healthcare NHS Trust , Single Photon Emission Computerized Tomography , 40 , 50 , 50 , 50 , 45 , 50 , 55 , 50 , 40 , 45 , 45 , 65 , 585 
 Y59 , NVM , Epsomedical Group , Diagnostic Ultrasonography , 100 , 100 , 115 , 115 , 120 , 115 , 135 , 140 , 75 , 110 , 110 , 120 ," 1,350 "
 Y59 , NVM , Epsomedical Group , Magnetic Resonance Imaging , . , . , 5 , . , . , . , . , . , . , . , . , . , 5 
